cep,rua,bairro,id_cidade,id_bairro,nome_cidade,id_estado,nome_estado,sigla_estado,cidade_counts,latitude,longitude
38180572,Rua Domingos Ferreira Ribeiro,Residencial Camuá,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180241,"Avenida Ministro Olavo Drummond, do km 1,452 ao km 1,930 - lado par",Santa Mônica,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181679,Rua dos Beija-Flores,João Bosco Teixeira,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38184534,Rua Alto dos Paulistas,Barreiro,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183654,Rua dos Alecrins,Parque das Flores,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182504,Rua Tulinho Maneira,Portal do Camburi,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181828,Rua Sônia Maria de Ávila,Residencial Jardim das Oliveiras,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183013,Praça Theodora de Oliveira Ribeiro,Centro,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183109,Praça Maria Aparecida Carneiro,Centro,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180132,Rua Francisco Cassiano Dias,Leblon,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180455,Rua Luiz Miguel de Souza,Loteamento Max Newmann,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180465,Rua Maria Piedade Rios,Loteamento Max Newmann,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181302,Rua Três,Loteamento Flávia Helena,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180044,Rua Pedro Adolfo,Alvorada,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38183058,Rua Antônio Alves da Costa,Vila São Pedro,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38181656,Rua Direne Ribeiro Gomes de Menezes,Cicinato de Ávila,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180006,"Rua Marechal Deodoro, de 524/525 ao fim",Alvorada,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180666,Rua Dorvina Terezinha de Jesus,Conjunto Habitacional Boa Vista,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38180662,Rua Joel Ferreira Rios,Conjunto Habitacional Boa Vista,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
38182332,Rua Joaquim Augusto da Mota,Vila Padre Alaor,617,11,Araxá,11,Minas Gerais,MG,1674,-19.5955372,-46.9622951
